filename	sweetNumber	sweetList
2AC12298E39619697D0E34345FB3765DAADF9CCEF12EA28F7E900F9403E8B33E	28	"[""development"", ""family"", ""point"", ""community"", ""system"", ""coastal"", ""trust"", ""quality"", ""environment"", ""federal"", ""integration"", ""research"", ""content"", ""methodology"", ""health"", ""function"", ""infrastructure"", ""government"", ""climate"", ""sustainability"", ""competition"", ""training"", ""sound"", ""search"", ""industry"", ""work"", ""well"", ""sustainable""]"
1762757C518324F8A4F481419DF3FF047F7A58653D1B77411E94E2538E024497	98	"[""feedback"", ""focus"", ""human"", ""forecast"", ""current"", ""group"", ""marsh"", ""stable"", ""policy"", ""shear"", ""do"", ""format"", ""joint"", ""grid"", ""difference"", ""precipitation"", ""investigate"", ""vector"", ""mode"", ""output"", ""mean"", ""set"", ""spring"", ""energy"", ""phenomena"", ""prediction"", ""intensity"", ""frequency"", ""scale"", ""network"", ""lead"", ""gridded"", ""pattern"", ""decision"", ""research"", ""access"", ""version"", ""internet"", ""evaluation"", ""discovery"", ""body"", ""infrastructure"", ""linear"", ""vertical"", ""standard"", ""percentile"", ""hypothesis"", ""path"", ""change"", ""climate"", ""division"", ""shift"", ""probability"", ""community"", ""dataset"", ""weather"", ""quality"", ""resilience"", ""service"", ""area"", ""system"", ""storm"", ""attribute"", ""assessment"", ""flight"", ""aviation"", ""science"", ""work"", ""rate"", ""value"", ""air"", ""project"", ""verification"", ""error"", ""root"", ""reanalysis"", ""characteristics"", ""surface"", ""technology"", ""archive"", ""monitoring"", ""gcm"", ""potential"", ""ensemble"", ""development"", ""product"", ""consistency"", ""thunderstorm"", ""visualize"", ""mesa"", ""data"", ""center"", ""well"", ""analysis"", ""time"", ""model"", ""resolution"", ""dimension""]"
1B8043354809F4C6A722FBB11C57FD283F6FDA1E4CBD6A9F7FA386DA0F149994	104	"[""atmosphere"", ""selection"", ""radio"", ""cell"", ""group"", ""zone"", ""environment"", ""civil"", ""window"", ""treatment"", ""policy"", ""circle"", ""local"", ""do"", ""government"", ""food"", ""choice"", ""bank"", ""recreation"", ""resource"", ""name"", ""drop"", ""car"", ""sustainable"", ""ecology"", ""arc"", ""pass"", ""network"", ""space"", ""federal"", ""research"", ""current"", ""state"", ""health"", ""hill"", ""internet"", ""transportation"", ""degree"", ""free"", ""release"", ""protection"", ""key"", ""arroyo"", ""search"", ""incoming"", ""receive"", ""compliance"", ""airport"", ""permit"", ""pdf"", ""family"", ""facility"", ""wall"", ""charge"", ""integral"", ""community"", ""county"", ""ring"", ""city"", ""management"", ""service"", ""area"", ""acceptance"", ""system"", ""station"", ""basic"", ""type"", ""gps"", ""diversity"", ""norte"", ""park"", ""climate"", ""phone"", ""science"", ""access"", ""record"", ""behavior"", ""property"", ""orientation"", ""division"", ""sample"", ""engineering"", ""file"", ""flight"", ""technology"", ""floor"", ""verify"", ""range"", ""field"", ""branch"", ""channel"", ""circular"", ""development"", ""map"", ""mesa"", ""building"", ""center"", ""documentation"", ""well"", ""face"", ""time"", ""representation"", ""resolution"", ""order""]"
4B2B9056E49395F20040706F4CA9822263D5AFA2D3A61C1534C47FECF15117C5	45	"[""load"", ""body"", ""set"", ""image"", ""focus"", ""height"", ""header"", ""file"", ""array"", ""work"", ""event"", ""current"", ""leaf"", ""copyright"", ""area"", ""top"", ""cell"", ""state"", ""content"", ""function"", ""do"", ""direction"", ""operation"", ""return"", ""collapse"", ""normal"", ""line"", ""path"", ""horizontal"", ""change"", ""search"", ""bar"", ""reverse"", ""level"", ""bottom"", ""tree"", ""value"", ""element"", ""behavior"", ""time"", ""position"", ""property"", ""root"", ""order"", ""block""]"
6301218C07FAC3784C75B2A28A2B4E56098944491541A2C4FE11A9AAD0DE891B	8	"[""profile"", ""division"", ""search"", ""resource"", ""copyright"", ""research"", ""chemistry"", ""type""]"
504DC6F08FED630B64E780B5158C5CAF6AE201DBAB1342B9100B580E39A530ED	12	"[""development"", ""index"", ""search"", ""feedback"", ""federal"", ""compliance"", ""state"", ""research"", ""content"", ""rate"", ""policy"", ""navigation""]"
3E67E78C1C49117CF2EEC475058CDB7AE7F991746BB92B04B4950589C29929A7	13	"[""content"", ""search"", ""copyright"", ""family"", ""area"", ""space"", ""research"", ""current"", ""conservation"", ""policy"", ""navigation"", ""event"", ""reflection""]"
58C21B9E9C251E8CC048181902EF812FF1E588BA9DBD42368DD4261B68976027	20	"[""map"", ""training"", ""management"", ""assembly"", ""feedback"", ""food"", ""data"", ""industry"", ""search"", ""research"", ""chemical"", ""regulation"", ""minimum"", ""health"", ""relief"", ""permit"", ""policy"", ""waste"", ""navigation"", ""center""]"
14E6A322D401DC9761F2C3D506D57161E3BD00DF7BF4BEA5459B6CD119ACAC28	8	"[""temperature"", ""average"", ""surface"", ""dataset"", ""forest"", ""ground"", ""data"", ""metadata""]"
2E5C0A1F906FA4EEBC24FB462141B2515372BFD2AD8199543337BBE938B40F28	18	"[""content"", ""search"", ""diversity"", ""orientation"", ""family"", ""science"", ""fall"", ""center"", ""community"", ""research"", ""current"", ""history"", ""health"", ""navigation"", ""spring"", ""copyright"", ""local"", ""nursing""]"
F4C2572AAAAC94827F95570580EE33CB95ADE2F123E07064A97ECB6B851FF4F5	95	"[""sound"", ""focus"", ""debris"", ""forecast"", ""impact"", ""access"", ""group"", ""monitor"", ""flood"", ""production"", ""fuel"", ""do"", ""food"", ""inundation"", ""wave"", ""fall"", ""difference"", ""resource"", ""acidification"", ""qualitative"", ""cell"", ""yield"", ""bay"", ""energy"", ""biomass"", ""operation"", ""decision"", ""integration"", ""research"", ""content"", ""state"", ""health"", ""internet"", ""highway"", ""protection"", ""algal"", ""algae"", ""change"", ""knowledge"", ""search"", ""spill"", ""region"", ""current"", ""range"", ""base"", ""facility"", ""county"", ""weather"", ""coastal"", ""beach"", ""quality"", ""city"", ""management"", ""oceanography"", ""temperature"", ""service"", ""petroleum"", ""system"", ""storm"", ""rip"", ""potential"", ""abundance"", ""circulation"", ""science"", ""work"", ""project"", ""industry"", ""loop"", ""aa"", ""predict"", ""surface"", ""tide"", ""engineering"", ""ship"", ""monitoring"", ""equipment"", ""complex"", ""erosion"", ""channel"", ""development"", ""map"", ""product"", ""oil"", ""data"", ""lifting"", ""land"", ""center"", ""well"", ""analysis"", ""ocean"", ""time"", ""model"", ""physics"", ""wind"", ""buoy""]"
44DBD29277595C92F24A389A1E8063C52B2B602425608D68999E373034E7E3AE	6	"[""building"", ""receive"", ""cover"", ""period"", ""current"", ""output""]"
31D7915EB08167C684C3FFDA95F5FB2BF2F559CB19DC33407FB65DB07317C5BF	20	"[""cell"", ""search"", ""chemistry"", ""center"", ""service"", ""communications"", ""colloid"", ""energy"", ""storage"", ""system"", ""yield"", ""chemical"", ""ion"", ""map"", ""surface"", ""science"", ""sustainable"", ""content"", ""navigation"", ""conversion""]"
CD9751C4BAE044B75D0EC9113C78BEBA8EA963616C8552DFEF7397F509962F9D	24	"[""force"", ""radio"", ""archive"", ""ground"", ""category"", ""city"", ""top"", ""system"", ""research"", ""current"", ""station"", ""diversity"", ""degree"", ""civilian"", ""free"", ""wake"", ""search"", ""center"", ""level"", ""well"", ""budget"", ""communications"", ""groundwater"", ""mean""]"
E9740EB9BC94F6BF7A2F653ACFAE8FBE51F1FBFB14B44E26643C6CD509B96721	26	"[""load"", ""community"", ""sampling"", ""sample"", ""purity"", ""measure"", ""native"", ""visualization"", ""strength"", ""group"", ""network"", ""copyright"", ""access"", ""source"", ""input"", ""do"", ""shell"", ""component"", ""statistics"", ""simulate"", ""data"", ""building"", ""documentation"", ""well"", ""analysis"", ""behavior""]"
05856C54E27D30BF7CBFD301304C7AA4ED4F6397133395EBDB4CD26853DA2D74	11	"[""profile"", ""division"", ""search"", ""resource"", ""copyright"", ""evaluation"", ""budget"", ""analysis"", ""project"", ""chemistry"", ""type""]"
7B1F0F86AC786AF886136FB9AF9F1F945698804643D54F106CC3699A84E23B80	1	"[""center""]"
541FC5B2A8E4F05967FB835E1BDA571E0107204D2A9EDFFA30E00139942FE018	18	"[""arrival"", ""management"", ""group"", ""service"", ""degree"", ""human"", ""work"", ""well"", ""state"", ""community"", ""research"", ""range"", ""role"", ""collection"", ""background"", ""health"", ""bay"", ""discovery""]"
E8F98FF270992C58F3520C8382067FDD1163E143EF0073B5108A650B6C80A12D	50	"[""feed"", ""layer"", ""probability"", ""reanalysis"", ""process"", ""soil"", ""terrain"", ""resistance"", ""surface"", ""stability"", ""radar"", ""weather"", ""path"", ""air"", ""speed"", ""transport"", ""ground"", ""current"", ""source"", ""data"", ""decision"", ""depth"", ""roughness"", ""dispersion"", ""field"", ""state"", ""moisture"", ""stable"", ""length"", ""boundary"", ""type"", ""ensemble"", ""satellite"", ""predict"", ""heat"", ""key"", ""turbulence"", ""spin"", ""model"", ""weathering"", ""land"", ""irregular"", ""space"", ""scavenging"", ""analysis"", ""ocean"", ""flux"", ""range"", ""canopy"", ""wind""]"
F58E817066B4983E56CC0EDB4E7B3DE94F65169F84D882B2FBB6BD4642E333B0	38	"[""development"", ""layer"", ""revolution"", ""force"", ""process"", ""choice"", ""community"", ""migration"", ""trust"", ""technology"", ""cloud"", ""native"", ""category"", ""current"", ""management"", ""group"", ""service"", ""top"", ""exchange"", ""transform"", ""research"", ""access"", ""platform"", ""internet"", ""type"", ""profile"", ""government"", ""wave"", ""joint"", ""standard"", ""building"", ""search"", ""industry"", ""solution"", ""summit"", ""mode"", ""property"", ""vision""]"
E70F8231B637B7C8652994472AC5E4AECC8A00BD8E8A40E907E8150EBA98E13A	36	"[""square"", ""bomb"", ""spreading"", ""community"", ""evidence"", ""chronology"", ""file"", ""pass"", ""ground"", ""city"", ""service"", ""area"", ""electricity"", ""coordinates"", ""day"", ""current"", ""version"", ""policy"", ""content"", ""park"", ""free"", ""flora"", ""parallel"", ""search"", ""interaction"", ""row"", ""country"", ""shore"", ""base"", ""radial"", ""pdf"", ""fauna"", ""property"", ""navigation"", ""side"", ""history""]"
4274DEE15C46F0114B66EC4F61F7B03F8E51CB1575148551A4C0076464D3D42D	22	"[""feedback"", ""do"", ""agriculture"", ""archive"", ""current"", ""floor"", ""top"", ""research"", ""cell"", ""fire"", ""health"", ""policy"", ""map"", ""biology"", ""food"", ""building"", ""search"", ""well"", ""corona"", ""species"", ""grass"", ""navigation""]"
2C458C859D8F96F5B7FDB0548C9E84E17C6E5CB889458CF00D7E62BC846185AF	28	"[""atmosphere"", ""reanalysis"", ""energy"", ""period"", ""surface"", ""decrease"", ""thickness"", ""strength"", ""system"", ""ice"", ""roughness"", ""thinning"", ""ocean"", ""momentum"", ""metadata"", ""assimilation"", ""data"", ""retreat"", ""loss"", ""stress"", ""cover"", ""analysis"", ""simulation"", ""project"", ""flux"", ""edge"", ""wind"", ""mean""]"
539FD3B42981AFAF75AB1072D9F2E197D111C3F33CCBE2CC7C74087BCE72CECE	110	"[""focus"", ""human"", ""impact"", ""content"", ""group"", ""knowledge"", ""environment"", ""potential"", ""location"", ""policy"", ""local"", ""do"", ""government"", ""food"", ""fall"", ""name"", ""double"", ""sustainable"", ""ecology"", ""sequence"", ""spring"", ""phenomena"", ""growth"", ""pass"", ""belief"", ""capacity"", ""psychology"", ""grading"", ""federal"", ""integration"", ""research"", ""current"", ""state"", ""health"", ""evaluation"", ""transportation"", ""theory"", ""degree"", ""component"", ""epidemiology"", ""protection"", ""key"", ""change"", ""training"", ""incoming"", ""receive"", ""country"", ""range"", ""family"", ""point"", ""grade"", ""communication"", ""community"", ""sampling"", ""county"", ""trained"", ""type"", ""array"", ""unit"", ""city"", ""statistics"", ""service"", ""area"", ""top"", ""acceptance"", ""criteria"", ""assessment"", ""theoretical"", ""diversity"", ""wireless"", ""failure"", ""population"", ""count"", ""science"", ""work"", ""maximum"", ""value"", ""air"", ""project"", ""record"", ""minimum"", ""behavior"", ""history"", ""division"", ""cover"", ""evidence"", ""engineering"", ""rim"", ""file"", ""native"", ""chemical"", ""field"", ""complex"", ""role"", ""development"", ""description"", ""sustainability"", ""data"", ""building"", ""center"", ""average"", ""well"", ""disease"", ""analysis"", ""element"", ""time"", ""management"", ""model"", ""resolution"", ""order""]"
DDD04CBF628C070094199CA1789F224DA1300D39088A99AE1740D25FB727F2D3	21	"[""province"", ""map"", ""search"", ""resource"", ""description"", ""reformatted"", ""record"", ""navigation"", ""image"", ""documentation"", ""metadata"", ""access"", ""project"", ""source"", ""type"", ""collection"", ""county"", ""history"", ""data"", ""day"", ""location""]"
51F251DAEC1934CBA71D94F31E3EFE87CEC481093F4F9386D2EDAA560017AC96	18	"[""data"", ""search"", ""monitoring"", ""telescope"", ""science"", ""image"", ""work"", ""sunspot"", ""corona"", ""research"", ""current"", ""intensity"", ""vector"", ""peak"", ""chromosphere"", ""photosphere"", ""navigation"", ""archive""]"
10E4F96C36C30F7F59ED1250460C7A4AD2A82EA058C356455BF92F6136C0B8D2	19	"[""profile"", ""division"", ""search"", ""resource"", ""knowledge"", ""copyright"", ""civil"", ""meteorology"", ""climate"", ""focus"", ""environment"", ""engineering"", ""weather"", ""key"", ""center"", ""range"", ""research"", ""type"", ""system""]"
318F2E095C1A8C6DBF8401A674B3843DEA9EC07418067514B90D914B5A6FF011	21	"[""development"", ""division"", ""search"", ""management"", ""diversity"", ""orientation"", ""degree"", ""normal"", ""exchange"", ""feedback"", ""climate"", ""center"", ""current"", ""biology"", ""growth"", ""native"", ""copyright"", ""chemistry"", ""location"", ""research"", ""population""]"
29F1B0AA58426D94C0BC3856B590CD29FB98C0DC0425B8D2939597A54DCBB733	33	"[""subset"", ""feed"", ""process"", ""period"", ""integration"", ""migration"", ""unit"", ""monitoring"", ""service"", ""system"", ""content"", ""source"", ""version"", ""change"", ""branch"", ""type"", ""composition"", ""discovery"", ""function"", ""format"", ""error"", ""configuration"", ""data"", ""structure"", ""search"", ""interaction"", ""logging"", ""name"", ""extension"", ""level"", ""work"", ""time"", ""navigation""]"
6299A33A60D0C24E8223BC653C61F01AF3DF252BFEB0CA41C072CFE004594A6D	21	"[""development"", ""allocation"", ""training"", ""resource"", ""knowledge"", ""service"", ""technology"", ""center"", ""focus"", ""data"", ""simulation"", ""access"", ""version"", ""search"", ""navigation"", ""maintenance"", ""release"", ""research"", ""quality"", ""anatomy"", ""discovery""]"
E015BDBF43E9705369E6124D69E9303A45AFCD58CB9BD13FC89B6C0BA8FDEDD5	6	"[""search"", ""value"", ""version"", ""policy"", ""property"", ""navigation""]"
5AC0810A66EF491938C75ABC740AE403115386D707C897C220E3A7BFB09539B0	15	"[""development"", ""project"", ""search"", ""management"", ""center"", ""facility"", ""research"", ""current"", ""field"", ""aircraft"", ""aviation"", ""discovery"", ""data"", ""archive"", ""ground""]"
E0C998A96881FE3CF1BDB551BAAF6947CB525A2DCB61C541E08494F765B154C3	58	"[""interruption"", ""set"", ""burning"", ""do"", ""soil"", ""access"", ""system"", ""radar"", ""research"", ""quality"", ""archive"", ""ground"", ""category"", ""index"", ""archived"", ""scale"", ""knowledge"", ""copyright"", ""exchange"", ""snow"", ""ice"", ""continent"", ""current"", ""state"", ""moisture"", ""policy"", ""content"", ""local"", ""discovery"", ""map"", ""satellite"", ""visualization"", ""processing"", ""drift"", ""search"", ""collection"", ""base"", ""imaging"", ""pdf"", ""line"", ""data"", ""change"", ""temperature"", ""climate"", ""climatology"", ""service"", ""brightness"", ""meteorology"", ""cover"", ""center"", ""analysis"", ""air"", ""motion"", ""release"", ""velocity"", ""interferometry"", ""navigation"", ""mean""]"
CD155EFD47285FA088D40CD11B1A1790AC516381BD492B7734D89494D55DBC88	13	"[""development"", ""feed"", ""search"", ""copyright"", ""map"", ""value"", ""environment"", ""growth"", ""health"", ""community"", ""human"", ""trust"", ""population""]"
C87D4B2D1BE9935ECE8FAD5F89C2054C38D0123F2B965AEF301E52858DF8CE8F	8	"[""function"", ""return"", ""extension"", ""overlay"", ""point"", ""character"", ""file"", ""event""]"
E5847DFA4E6EC55C7B6A8E19E2DC65867F2A8FEB11B6C9BDDA429C66517F80A9	8	"[""science"", ""analysis"", ""standard"", ""project"", ""phone"", ""error"", ""quality"", ""history""]"
1E4BA8A58C8EA849857F05E8E5AB311FEC743CF6DE03AAA68B9EA2FA5A8EDB75	57	"[""mechanics"", ""background"", ""process"", ""communication"", ""transit"", ""hearing"", ""rate"", ""migration"", ""technology"", ""depression"", ""group"", ""density"", ""federal"", ""verify"", ""top"", ""regulation"", ""research"", ""environment"", ""state"", ""production"", ""health"", ""policy"", ""local"", ""energy"", ""do"", ""oil"", ""transportation"", ""vertical"", ""food"", ""rock"", ""time"", ""flow"", ""free"", ""indigenous"", ""failure"", ""protection"", ""cement"", ""key"", ""contamination"", ""horizontal"", ""potential"", ""climate"", ""receive"", ""science"", ""industry"", ""compliance"", ""well"", ""engineering"", ""solution"", ""groundwater"", ""drill"", ""leak"", ""release"", ""military"", ""river"", ""region"", ""history""]"
10C35D4E646A0F609FD0DEB71CDD259C15066DC140392CA7802136471A8158C7	22	"[""force"", ""supply"", ""community"", ""unit"", ""knowledge"", ""top"", ""research"", ""content"", ""assessment"", ""boulder"", ""map"", ""training"", ""sustainability"", ""detachment"", ""search"", ""center"", ""science"", ""budget"", ""air"", ""military"", ""enrichment"", ""loop""]"
A09E8403FC0714BC5C8BFEA7993EA7EF0B9D2D683F983F752E6F09456EBB99AB	14	"[""function"", ""index"", ""set"", ""return"", ""do"", ""process"", ""route"", ""state"", ""current"", ""slide"", ""location"", ""array"", ""type"", ""event""]"
E43554564B105339B90FEA5C564913496C08973D04D3B8978C2D7E3CEFEB3AC1	28	"[""selection"", ""cover"", ""budget"", ""quality"", ""service"", ""space"", ""research"", ""current"", ""source"", ""location"", ""criteria"", ""policy"", ""type"", ""do"", ""description"", ""search"", ""name"", ""double"", ""work"", ""well"", ""maximum"", ""local"", ""project"", ""signature"", ""history"", ""side"", ""block"", ""proof""]"
E0CB495AF290F355BA0C3089F4D64376B6302CE8D1638F684D837D6150ADFEE7	55	"[""body"", ""square"", ""constant"", ""facility"", ""fall"", ""header"", ""engineering"", ""file"", ""compliance"", ""threshold"", ""quality"", ""event"", ""line"", ""copyright"", ""decision"", ""supply"", ""storage"", ""system"", ""name"", ""access"", ""source"", ""charge"", ""version"", ""change"", ""criteria"", ""acceptance"", ""function"", ""do"", ""medium"", ""exchange"", ""permit"", ""component"", ""collection"", ""volume"", ""failure"", ""protection"", ""free"", ""derivative"", ""translation"", ""difference"", ""data"", ""structure"", ""successor"", ""reverse"", ""loss"", ""service"", ""receive"", ""work"", ""well"", ""range"", ""time"", ""output"", ""property"", ""root"", ""order""]"
CF00AB2845883D9DD4B3FDE4AC8F881DA71FAA1B88751114F5E652138F231049	55	"[""interruption"", ""meteorology"", ""burning"", ""do"", ""soil"", ""satellite"", ""system"", ""weather"", ""mean"", ""archive"", ""ground"", ""index"", ""knowledge"", ""service"", ""floor"", ""snow"", ""ice"", ""research"", ""current"", ""source"", ""cooling"", ""moisture"", ""policy"", ""content"", ""assessment"", ""variability"", ""product"", ""exchange"", ""center"", ""drift"", ""search"", ""collection"", ""period"", ""decline"", ""observe"", ""imaging"", ""environment"", ""evidence"", ""data"", ""change"", ""temperature"", ""climate"", ""copyright"", ""level"", ""local"", ""signal"", ""brightness"", ""cover"", ""analysis"", ""ocean"", ""base"", ""science"", ""climatology"", ""navigation"", ""history""]"
541AB5586AE9C487204EC25C0C5F115EA972B5745D93C3120DFD24C6950332FA	20	"[""project"", ""valley"", ""logging"", ""network"", ""area"", ""grade"", ""technology"", ""park"", ""focus"", ""community"", ""budget"", ""access"", ""state"", ""edge"", ""hill"", ""signature"", ""group"", ""bay"", ""quality"", ""native""]"
F24E8384458DC720912D25253ECCDB9AB950AA953E7261862DF9DE8DF4D31433	8	"[""search"", ""copyright"", ""receive"", ""science"", ""system"", ""content"", ""human"", ""navigation""]"
F2647D114486BBB5303D7148DE0F1261E9E20F5142A5DB45718E2F40E5EC068C	33	"[""work"", ""supply"", ""civil"", ""energy"", ""focus"", ""community"", ""ground"", ""access"", ""capacity"", ""research"", ""environment"", ""transforming"", ""potential"", ""role"", ""change"", ""policy"", ""local"", ""development"", ""food"", ""pressure"", ""key"", ""translation"", ""bank"", ""building"", ""climate"", ""resource"", ""economics"", ""well"", ""air"", ""communications"", ""sustainable"", ""pdf"", ""history""]"
3BBC05B0E16D49F233B86C21A4901425AF1E38FFECAA05774DDA7B1B6BD3979F	33	"[""set"", ""point"", ""ship"", ""air"", ""quality"", ""city"", ""management"", ""copyright"", ""research"", ""environment"", ""source"", ""geochemistry"", ""basin"", ""3d"", ""project"", ""biology"", ""linear"", ""geology"", ""protection"", ""geophysics"", ""line"", ""data"", ""circle"", ""sound"", ""climate"", ""science"", ""well"", ""ocean"", ""2d"", ""range"", ""mammal"", ""physics"", ""history""]"
FD931A28871A177B6ED494CD085EA9EFA3C95A0D9B35CA0FF5428FFFD5E75F68	6	"[""search"", ""value"", ""version"", ""policy"", ""property"", ""navigation""]"
FA6AAE833ABC26EBE156C33E32B7BE0E609400937B56FFCE08BF3AB6E2A5DAC3	18	"[""map"", ""training"", ""network"", ""copyright"", ""climate"", ""community"", ""snow"", ""content"", ""state"", ""weather"", ""analysis"", ""county"", ""policy"", ""drought"", ""data"", ""day"", ""hail"", ""evapotranspiration""]"
5516151205D1D5DFBA47266CB678FA504E2BFD9C238DEFB69995ABBBAF8966F4	15	"[""center"", ""energy"", ""budget"", ""ice"", ""dataset"", ""flux"", ""heat"", ""station"", ""surface"", ""ocean"", ""humidity"", ""speed"", ""research"", ""wind"", ""metadata""]"
19655FFF1B7A6F48EDDDDEE15A1FE40E81E3120F9358366EAD698EC844CC261D	17	"[""index"", ""direction"", ""management"", ""resource"", ""doc"", ""industry"", ""integral"", ""research"", ""mix"", ""minimum"", ""background"", ""time"", ""communication"", ""chemistry"", ""technology"", ""potential"", ""science""]"
